recommendation_id,game,playtime_at_review_hours,game_q75,high_playtime,review_word_count,log_review_words,combat,challenge,progression,exploration,narrative,immersion,steam_purchase,received_for_free
229461794,Cyberpunk 2077,42.0667,138.225025,0,13,2.63905733,0,0,0,0,1,0,0,0
229460352,Cyberpunk 2077,7.7833,138.225025,0,23,3.17805383,1,0,0,0,1,0,0,0
229460057,Cyberpunk 2077,15.9833,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229459672,Cyberpunk 2077,126.3667,138.225025,0,29,3.401197382,0,0,0,0,0,0,1,0
229456230,Cyberpunk 2077,178.8,138.225025,1,143,4.9698133,0,0,0,0,0,0,1,0
229455873,Cyberpunk 2077,73.3333,138.225025,0,61,4.127134385,0,0,0,0,1,0,1,0
229455657,Cyberpunk 2077,52.1,138.225025,0,63,4.158883083,0,0,0,0,1,0,1,0
229455446,Cyberpunk 2077,73.4667,138.225025,0,15,2.772588722,0,0,0,0,1,0,1,0
229454387,Cyberpunk 2077,6.2167,138.225025,0,13,2.63905733,0,0,0,0,0,0,1,0
229454340,Cyberpunk 2077,21.6167,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229454180,Cyberpunk 2077,77,138.225025,0,1413,7.254177846,1,1,1,1,1,1,1,0
229453967,Cyberpunk 2077,52.6333,138.225025,0,87,4.477336814,0,0,0,0,0,1,1,0
229453824,Cyberpunk 2077,44.9,138.225025,0,15,2.772588722,0,0,0,0,0,0,1,0
229453325,Cyberpunk 2077,80.2,138.225025,0,296,5.693732139,1,0,1,0,1,0,1,0
229453196,Cyberpunk 2077,10.05,138.225025,0,25,3.258096538,0,0,0,0,0,0,1,0
229453189,Cyberpunk 2077,1.9667,138.225025,0,81,4.406719247,0,0,0,0,0,0,1,0
229451208,Cyberpunk 2077,16.6,138.225025,0,237,5.472270674,1,0,0,0,0,1,1,0
229448725,Cyberpunk 2077,27.3833,138.225025,0,12,2.564949357,0,0,0,0,0,0,1,0
229446764,Cyberpunk 2077,55.6833,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229445297,Cyberpunk 2077,34.4167,138.225025,0,22,3.135494216,0,0,0,0,1,1,1,0
229445114,Cyberpunk 2077,250.5333,138.225025,1,63,4.158883083,0,0,0,0,0,0,1,0
229444700,Cyberpunk 2077,3.2333,138.225025,0,10,2.397895273,0,0,0,0,1,0,1,0
229443045,Cyberpunk 2077,20.45,138.225025,0,43,3.784189634,0,0,0,0,0,0,1,0
229442938,Cyberpunk 2077,156.75,138.225025,1,72,4.290459441,0,0,0,0,1,0,1,0
229442295,Cyberpunk 2077,123,138.225025,0,62,4.143134726,0,0,0,1,1,0,1,0
229442117,Cyberpunk 2077,101.4167,138.225025,0,20,3.044522438,0,0,0,0,1,0,1,0
229439943,Cyberpunk 2077,9.3833,138.225025,0,30,3.433987204,1,1,0,0,1,0,1,0
229438408,Cyberpunk 2077,110.7667,138.225025,0,10,2.397895273,0,0,0,0,0,0,1,0
229437690,Cyberpunk 2077,68.25,138.225025,0,36,3.610917913,0,0,0,0,1,0,1,0
229435890,Cyberpunk 2077,43.3167,138.225025,0,24,3.218875825,0,0,0,0,0,0,1,0
229435508,Cyberpunk 2077,87.6333,138.225025,0,79,4.382026635,0,0,0,0,1,0,1,0
229435356,Cyberpunk 2077,226.3167,138.225025,1,32,3.496507561,0,0,0,0,1,0,0,0
229434735,Cyberpunk 2077,69.4,138.225025,0,25,3.258096538,0,0,0,0,1,0,1,0
229434363,Cyberpunk 2077,67.0833,138.225025,0,13,2.63905733,0,0,0,0,1,0,1,0
229432079,Cyberpunk 2077,102.4,138.225025,0,31,3.465735903,0,0,0,0,0,0,0,0
229431843,Cyberpunk 2077,52.3333,138.225025,0,11,2.48490665,0,0,0,0,0,0,1,0
229431345,Cyberpunk 2077,73.1833,138.225025,0,36,3.610917913,0,0,0,0,1,0,1,0
229431315,Cyberpunk 2077,18.9333,138.225025,0,21,3.091042453,0,0,0,1,0,0,1,0
229430971,Cyberpunk 2077,39.6833,138.225025,0,16,2.833213344,0,0,0,0,0,0,1,0
229428716,Cyberpunk 2077,61.0667,138.225025,0,103,4.644390899,0,0,0,0,1,0,1,0
229425252,Cyberpunk 2077,79.0167,138.225025,0,15,2.772588722,0,0,1,0,0,0,1,0
229424352,Cyberpunk 2077,101.4,138.225025,0,196,5.283203729,0,0,0,0,1,0,1,0
229423907,Cyberpunk 2077,49.8833,138.225025,0,20,3.044522438,0,0,0,0,0,0,1,0
229423711,Cyberpunk 2077,31.5667,138.225025,0,30,3.433987204,0,1,0,0,0,0,1,0
229419914,Cyberpunk 2077,116.2667,138.225025,0,200,5.303304908,0,0,0,0,1,0,1,0
229419904,Cyberpunk 2077,11.0667,138.225025,0,28,3.36729583,0,1,0,0,0,0,1,0
